postcode,lat,lon
B601BN,52.35084,-2.01572
B601JG,52.35137,-2.04456
B602EP,52.32592,-2.04306
B602ET,52.32780,-2.04604
B602HS,52.33118,-2.04913
B603AH,52.31984,-2.00804
B603NH,52.32196,-2.06061
B603NL,52.32488,-2.06130
B604BS,52.27516,-2.06819
B604ND,52.30306,-2.08411
B610AH,52.34060,-2.05792
B610JL,52.36243,-2.06059
B610JP,52.36306,-2.05834
B610JW,52.36120,-2.06109
B617BS,52.32771,-2.07344
B617DH,52.33240,-2.06652
B617LH,52.32700,-2.07042
B618QN,52.34405,-2.07679
B619AW,52.34769,-2.09774
B619LZ,52.37499,-2.07826
B620BZ,52.45164,-2.02315
B620HS,52.45567,-2.01416
B620LF,52.41575,-2.05675
B628JZ,52.46608,-2.03425
B628PJ,52.46060,-2.02704
B629DR,52.46738,-2.02848
B629NZ,52.46815,-2.02632
B631BU,52.44061,-2.07473
B632ES,52.45229,-2.08922
B632TN,52.46154,-2.08685
B632UL,52.46322,-2.08666
B633BB,52.45068,-2.05187
B633HA,52.44676,-2.04084
B633LH,52.45050,-2.04597
B633SL,52.45280,-2.05059
B633TP,52.45632,-2.05544
B634AR,52.44971,-2.05583
B634BB,52.45156,-2.05887
B634HY,52.44820,-2.06882
B634QD,52.44408,-2.06000
B646DR,52.47365,-2.06704
B646EZ,52.47468,-2.07541
B646HT,52.47586,-2.06899
B646QU,52.47738,-2.06201
B646RH,52.47248,-2.06001
B647LT,52.46543,-2.07171
B64EA,52.49701,-1.88458
B64PZ,52.49641,-1.89108
B650DA,52.47175,-2.04440
B658HS,52.48386,-2.05968
B658JY,52.48952,-2.05596
B659AL,52.48484,-2.04792
B659AN,52.48335,-2.04634
B659HU,52.48878,-2.04075
B659JP,52.48800,-2.03056
B659NF,52.47956,-2.03800
B65BE,52.50013,-1.88757
B65NH,52.50367,-1.89425
B65UQ,52.50431,-1.87735
B661BA,52.50056,-1.96920
B661RE,52.50157,-1.99281
B663DU,52.49499,-1.95832
B663HH,52.49069,-1.96192
B663LX,52.49092,-1.95728
B664HB,52.47731,-1.97017
B664ND,52.48422,-1.96476
B664PW,52.48523,-1.95453
B664SH,52.48735,-1.95341
B66AJ,52.50879,-1.89888
B66DJ,52.50366,-1.88564
B66EE,52.50539,-1.89317
B66RX,52.50950,-1.88132
B675HX,52.47669,-1.97696
B675LR,52.47721,-1.98054
B675LT,52.47636,-1.98036
B676HT,52.48362,-1.97760
B676LE,52.48190,-1.98547
B677AT,52.49314,-1.97951
B677DW,52.49177,-1.97074
B677JG,52.49817,-1.98670
B67BU,52.51405,-1.87668
B680QY,52.46590,-2.00896
B680RG,52.46704,-2.00995
B680SH,52.47227,-2.00583
B688ED,52.48516,-2.00287
B688LD,52.48711,-2.01097
B688LX,52.48229,-2.01967
B688NE,52.48084,-2.00928
B688SQ,52.49558,-2.00002
B689BG,52.46862,-1.98905
B689DS,52.47505,-1.99832
B689PA,52.48339,-1.99198
B689QR,52.48471,-1.99766
B691BG,52.49192,-2.03318
B691LD,52.50126,-2.04154
B691SG,52.50116,-2.04897
B691TR,52.50873,-2.05720
B692DP,52.50295,-2.02668
B692HE,52.50998,-2.03989
B692HT,52.51372,-2.04699
B692LN,52.51374,-2.05458
B693BU,52.51189,-2.02978
B694BA,52.50498,-2.01220
B694DE,52.50375,-2.01413
B694QB,52.49175,-2.01538
B700ES,52.52058,-2.02995
B700NG,52.53453,-2.02182
B706JA,52.51879,-1.98603
B706NF,52.51009,-1.98901
B707LE,52.50921,-1.99867
B707SQ,52.51184,-1.99879
B708DJ,52.52087,-1.99851
B708PN,52.51761,-2.00364
B708SZ,52.52281,-1.99447
B709NT,52.51809,-2.00914
B709UJ,52.52260,-2.01335
B709UW,52.52580,-2.01225
B711PG,52.52474,-1.99534
B711QN,52.53081,-1.99256
B711RP,52.53320,-1.98663
B712BX,52.53925,-1.99676
B712JN,52.54260,-1.99137
B712JQ,52.54525,-1.99239
B712NZ,52.54352,-2.00299
B712RP,52.53650,-2.00649
B712ST,52.53809,-2.00176
B713BU,52.54136,-1.98110
B714BU,52.52703,-1.98374
B714LG,52.50704,-1.96592
B721BS,52.53384,-1.81527
B721JU,52.55089,-1.81825
B721NX,52.55858,-1.81707
B721RB,52.55870,-1.81856
B721RE,52.55843,-1.82261
B735JL,52.53738,-1.83107
B735PT,52.55496,-1.82926
B735SD,52.54491,-1.84260
B735US,52.55055,-1.83938
B736QR,52.55550,-1.86223
B736UE,52.55787,-1.87527
B742BB,52.56848,-1.88908
B742EX,52.56810,-1.88222
B742NH,52.56902,-1.82200
B743BE,52.60398,-1.86467
B743HX,52.58110,-1.88208
B743PH,52.58170,-1.89272
B743PL,52.58010,-1.89169
B744LD,52.59489,-1.84433
B744PA,52.59617,-1.85275
B744RZ,52.58865,-1.83702
B74AA,52.49269,-1.88418
B74AG,52.48913,-1.88628
B74EU,52.48474,-1.87876
B74HP,52.48481,-1.87563
B74JR,52.48950,-1.87837
B74QR,52.48843,-1.87554
B755BL,52.58783,-1.82878
B755NL,52.59276,-1.81312
B756BL,52.57089,-1.80979
B756PB,52.57411,-1.82186
B756RE,52.58530,-1.81468
B756TJ,52.58094,-1.82487
B757DY,52.56049,-1.79557
B757JT,52.56143,-1.79769
B757NQ,52.56577,-1.78153
B757SG,52.56192,-1.80270
